survey_q,origin,horizon_quarters,endpoint,maturity_vintage,target_annualized_pct
2019Q3,2019Q2,2,2019Q4,2020Q1,2.097439328375128
2019Q3,2019Q2,4,2020Q2,2020Q3,0.4683140015026954
2019Q4,2019Q3,1,2019Q4,2020Q1,2.373584652403893
2019Q4,2019Q3,2,2020Q1,2020Q2,1.7909350439325178
2019Q4,2019Q3,4,2020Q3,2020Q4,1.3025504441785851
2020Q1,2019Q4,1,2020Q1,2020Q2,1.2082854354611428
2020Q1,2019Q4,2,2020Q2,2020Q3,-1.1608113253697372
2020Q1,2019Q4,4,2020Q4,2021Q1,1.251300927600421
2020Q2,2020Q1,1,2020Q2,2020Q3,-3.529908086200617
2020Q2,2020Q1,2,2020Q3,2020Q4,0.8141658444246525
2020Q2,2020Q1,4,2021Q1,2021Q2,1.9391375027445394
2020Q3,2020Q2,1,2020Q3,2020Q4,5.158239775049922
2020Q3,2020Q2,2,2020Q4,2021Q1,3.554780410868308
2020Q3,2020Q2,4,2021Q2,2021Q3,4.825721096323093
2020Q4,2020Q3,1,2020Q4,2021Q1,2.4297535196298625
2020Q4,2020Q3,2,2021Q1,2021Q2,3.089055524995321
2020Q4,2020Q3,4,2021Q3,2021Q4,5.313987918581836
2021Q1,2020Q4,1,2021Q1,2021Q2,3.7483575303607797
2021Q1,2020Q4,2,2021Q2,2021Q3,6.096661781777879
2021Q1,2020Q4,4,2021Q4,2022Q1,6.733459366702815
2021Q2,2021Q1,1,2021Q2,2021Q3,8.444966033194978
2021Q2,2021Q1,2,2021Q3,2021Q4,7.538920312168351
2021Q2,2021Q1,4,2022Q1,2022Q2,8.004019802383837
2021Q3,2021Q2,1,2021Q3,2021Q4,6.632874591141724
2021Q3,2021Q2,2,2021Q4,2022Q1,7.314020179345548
2021Q3,2021Q2,4,2022Q2,2022Q3,8.589965787316823
2021Q4,2021Q3,1,2021Q4,2022Q1,7.912189757006627
2021Q4,2021Q3,2,2022Q1,2022Q2,8.556550096228932
2021Q4,2021Q3,4,2022Q3,2022Q4,8.332401527773303
2022Q1,2021Q4,1,2022Q1,2022Q2,9.200910435451238
2022Q1,2021Q4,2,2022Q2,2022Q3,9.865911395288096
2022Q1,2021Q4,4,2022Q4,2023Q1,7.136411956301675
2022Q2,2022Q1,1,2022Q2,2022Q3,10.530912355124954
2022Q2,2022Q1,2,2022Q3,2022Q4,8.108252959317674
2022Q2,2022Q1,4,2023Q1,2023Q2,5.794672055201039
2022Q3,2022Q2,1,2022Q3,2022Q4,5.685593563510394
2022Q3,2022Q2,2,2022Q4,2023Q1,4.854588551182026
2022Q3,2022Q2,4,2023Q2,2023Q3,4.05771386774853
2022Q4,2022Q3,1,2022Q4,2023Q1,4.164171055461474
2022Q4,2022Q3,2,2023Q1,2023Q2,3.988437339154305
2022Q4,2022Q3,4,2023Q3,2023Q4,3.5672682634600275
2023Q1,2022Q4,1,2023Q1,2023Q2,3.8127036228471356
2023Q1,2022Q4,2,2023Q2,2023Q3,3.260839184315034
2023Q1,2022Q4,4,2023Q4,2024Q1,3.236880659965069
2023Q2,2023Q1,1,2023Q2,2023Q3,2.7089747457829327
2023Q2,2023Q1,2,2023Q3,2023Q4,3.1460991877657496
2023Q2,2023Q1,4,2024Q1,2024Q2,3.249990947694148
2023Q3,2023Q2,1,2023Q3,2023Q4,3.5832236297485665
2023Q3,2023Q2,2,2023Q4,2024Q1,3.0768418686746624
2023Q3,2023Q2,4,2024Q2,2024Q3,3.1952629158841894
2023Q4,2023Q3,1,2023Q4,2024Q1,2.7260402431784847
2023Q4,2023Q3,2,2024Q1,2024Q2,3.2660468914595286
2023Q4,2023Q3,4,2024Q3,2024Q4,2.644168369512678
2024Q1,2023Q4,1,2024Q1,2024Q2,3.8060535397405726
2024Q1,2023Q4,2,2024Q2,2024Q3,3.3136839630937165
2024Q1,2023Q4,4,2024Q4,2025Q1,2.7229369886766444
2024Q2,2024Q1,1,2024Q2,2024Q3,2.8213143864468604
2024Q2,2024Q1,2,2024Q3,2024Q4,2.022289847565828
2024Q2,2024Q1,4,2025Q1,2025Q2,2.7426663598811354
2024Q3,2024Q2,1,2024Q3,2024Q4,1.2232653086847955
2024Q3,2024Q2,2,2024Q4,2025Q1,2.214699484817617
2024Q3,2024Q2,4,2025Q2,2025Q3,2.465523975310541
2024Q4,2024Q3,1,2024Q4,2025Q1,3.033437325087851
2024Q4,2024Q3,2,2025Q1,2025Q2,3.409014058647497
2024Q4,2024Q3,4,2025Q3,2025Q4,2.901056658965767
2025Q1,2024Q4,1,2025Q1,2025Q2,3.784590792207143
2025Q1,2024Q4,2,2025Q2,2025Q3,2.7163484658034642
2025Q1,2024Q4,4,2025Q4,2026Q1,2.8326690734365894
2025Q2,2025Q1,1,2025Q2,2025Q3,1.6481061393997853
2025Q2,2025Q1,2,2025Q3,2025Q4,2.393099259284037
2025Q2,2025Q1,4,2026Q1,2026Q2,2.7058891583339237
2025Q3,2025Q2,1,2025Q3,2025Q4,3.138092379168289
2025Q3,2025Q2,2,2025Q4,2026Q1,2.9906228819557623
2025Q4,2025Q3,1,2025Q4,2026Q1,2.8919195350622706
2025Q4,2025Q3,2,2026Q1,2026Q2,3.041539247823777
2026Q1,2025Q4,1,2026Q1,2026Q2,3.191158960585283
